event_date,location,owner,impressions,clicks,new bookings,total_revenue
01/01/2024,Feline Fine - North Sydney,Feline Fine,167,75,8,750
02/01/2024,Feline Fine - North Sydney,Feline Fine,142,64,6,400
03/01/2024,Feline Fine - North Sydney,Feline Fine,168,76,8,750
06/01/2024,Feline Fine - North Sydney,Feline Fine,134,60,6,385
07/01/2024,Feline Fine - North Sydney,Feline Fine,115,52,5,385
08/01/2024,Feline Fine - North Sydney,Feline Fine,124,56,6,400
09/01/2024,Feline Fine - North Sydney,Feline Fine,102,46,5,400
10/01/2024,Feline Fine - North Sydney,Feline Fine,120,54,5,400
11/01/2024,Feline Fine - North Sydney,Feline Fine,113,51,5,650
13/01/2024,Feline Fine - North Sydney,Feline Fine,143,64,6,1100
14/01/2024,Feline Fine - North Sydney,Feline Fine,144,65,7,500
18/01/2024,Feline Fine - North Sydney,Feline Fine,115,52,5,2350
19/01/2024,Feline Fine - North Sydney,Feline Fine,108,49,5,1726.67
20/01/2024,Feline Fine - North Sydney,Feline Fine,171,77,8,125
21/01/2024,Feline Fine - North Sydney,Feline Fine,117,53,5,325
22/01/2024,Feline Fine - North Sydney,Feline Fine,102,46,5,330
23/01/2024,Feline Fine - North Sydney,Feline Fine,137,62,6,350
24/01/2024,Feline Fine - North Sydney,Feline Fine,150,68,7,18330
25/01/2024,Feline Fine - North Sydney,Feline Fine,121,54,5,11310
27/01/2024,Feline Fine - North Sydney,Feline Fine,111,50,5,250
28/01/2024,Feline Fine - North Sydney,Feline Fine,110,50,5,750
29/01/2024,Feline Fine - North Sydney,Feline Fine,140,63,6,1300
30/01/2024,Feline Fine - North Sydney,Feline Fine,152,68,7,1650
31/01/2024,Feline Fine - North Sydney,Feline Fine,126,57,6,750
01/02/2024,Feline Fine - North Sydney,Feline Fine,118,53,5,400
02/02/2024,Feline Fine - North Sydney,Feline Fine,154,69,7,735
03/02/2024,Feline Fine - North Sydney,Feline Fine,178,80,8,400
04/02/2024,Feline Fine - North Sydney,Feline Fine,165,74,7,735
05/02/2024,Feline Fine - North Sydney,Feline Fine,137,62,6,735
